,rank ,name,ELO,title,federation,games,birth_year,age,rapid,blitz
153,154,Yaroslav Zherebukh,2623,GM,United States ,658,1993,29,2620,2520
154,155,Vladimir Akopian,2620,GM,United States ,1830,1971,51,2668,2641
155,156,Farrukh Amonatov,2620,GM,Tajikistan ,961,1978,44,2634,2576
156,157,Cristobal Henriquez Villagra,2620,GM,Chile ,320,1996,26,2570,2542
157,158,Aleksandar Indjic,2620,GM,Serbia ,903,1995,27,2502,2616
158,159,Viktor Laznicka,2620,GM,Czech Republic ,1701,1988,34,2639,2540
159,160,David Paravyan,2620,GM,Russian Federation ,952,1998,24,2636,2569
160,161,Nodirbek Yakubboev,2620,GM,Uzbekistan ,364,2002,20,2495,2517
161,162,Boris Grachev,2619,GM,Russian Federation ,1869,1986,36,2654,2574
162,163,Eduardo Iturrizaga Bonelli,2619,GM,Spain ,1094,1989,33,2632,2653
163,164,Zhao Jun,2619,GM,China ,720,1986,36,2638,2547
164,165,Sergei Movsesian,2618,GM,Armenia ,2695,1978,44,2616,2584
165,166,Rinat Jumabayev,2617,GM,Kazakhstan ,1145,1989,33,2534,2561
166,167,Daniel Naroditsky,2617,GM,United States ,478,1995,27,2639,2608
167,168,Zhang Zhong,2617,GM,China ,919,1978,44,2475,2535
168,169,Benjamin Bok,2616,GM,Netherlands ,993,1995,27,2608,2658
169,170,Denis Khismatullin,2616,GM,Russian Federation ,1528,1984,38,2532,2543
170,171,Lu Shanglei,2616,GM,China ,888,1995,27,2613,2646
171,172,Robert Markus,2616,GM,Serbia ,1297,1983,39,2625,2622
172,173,Daniele Vocaturo,2616,GM,Italy ,1074,1989,33,2584,2565
173,174,Ildar Khairullin,2615,GM,Russian Federation ,1083,1990,32,2671,2657
174,175,Emil Sutovsky,2615,GM,Israel ,1775,1977,45,2598,2516
175,176,Neuris Delgado Ramirez,2614,GM,Paraguay ,415,1981,41,2658,2627
177,178,Karthikeyan Murali,2613,GM,India ,677,1999,23,2387,2526
178,179,Georg Meier,2613,GM,Uruguay ,1322,1987,35,2643,2545
179,180,Sergey A Fedorchuk,2612,GM,Ukraine ,1816,1981,41,2527,2504
180,181,Aram Hakobyan,2612,GM,Armenia ,485,2001,21,2476,2557
181,182,Vladimir Onischuk,2612,GM,Ukraine ,1085,1991,31,2661,2642
182,183,Abhimanyu Puranik,2612,GM,India ,539,2000,22,2550,2520
183,184,Nigel Short,2612,GM,United Kingdom ,2875,1965,57,2537,2619
184,185,Tamas Banusz,2611,GM,Hungary ,1303,1989,33,2554,2602
185,186,Ante Brkic,2611,GM,Croatia ,1623,1988,34,2597,2602
186,187,Raunak Sadhwani,2611,GM,India ,511,2005,17,2533,2616
188,189,Vitaliy Bernadskiy,2610,GM,Ukraine ,925,1994,28,2544,2473
189,190,Aleksey Dreev,2610,GM,Russian Federation ,3360,1969,53,2576,2625
190,191,Niclas Huschenbeth,2610,GM,Germany ,761,1992,30,2572,2605
191,192,Manuel Petrosyan,2610,GM,Armenia ,732,1998,24,2547,2592
192,193,Max Warmerdam,2610,GM,Netherlands ,421,2000,22,2434,2537
194,195,Christian Bauer,2609,GM,France ,2092,1977,45,2571,2732
196,197,Aravindh Chithambaram,2608,GM,India ,535,1999,23,2576,2577
197,198,Jonas Buhl Bjerre,2608,GM,Denmark ,411,2004,18,2355,2312
198,199,Surya Shekhar Ganguly,2608,GM,India ,1811,1983,39,2646,2531
199,200,Vadim Milov,2608,GM,Switzerland ,1583,1972,50,2631,2519
